layer,feature_id,active_count,active_fraction,total_activation,mean_activation_when_active,max_activation,sae_folder
2,9020,2540,0.5796439981743496,81239.90702819824,31.98421536543238,69.69642639160156,resid_post_all/layer_2_width_16k_l0_small
2,749,1170,0.26700136923779094,496296.1076660156,424.184707406851,480.881591796875,resid_post_all/layer_2_width_16k_l0_small
2,895,828,0.18895481515289822,61681.57028198242,74.49465009901259,156.502685546875,resid_post_all/layer_2_width_16k_l0_small
2,13282,787,0.17959835691465084,34408.359550476074,43.72091429539527,65.27513885498047,resid_post_all/layer_2_width_16k_l0_small
2,446,758,0.17298037425832952,224191.04876708984,295.7665551017016,403.6461486816406,resid_post_all/layer_2_width_16k_l0_small
2,1913,716,0.16339570972158832,77113.74666595459,107.70076349993658,241.23048400878906,resid_post_all/layer_2_width_16k_l0_small
2,690,690,0.1574623459607485,97804.37017822266,141.74546402640965,411.3606262207031,resid_post_all/layer_2_width_16k_l0_small
2,963,684,0.1560931081697855,154693.99667358398,226.160813850269,249.17039489746094,resid_post_all/layer_2_width_16k_l0_small
2,505,584,0.13327247832040165,223059.97595214844,381.9520136166925,441.88848876953125,resid_post_all/layer_2_width_16k_l0_small
2,527,577,0.1316750342309448,83083.26806640625,143.99179907522748,358.803955078125,resid_post_all/layer_2_width_16k_l0_small
2,61,576,0.13144682793245094,83004.36736297607,144.10480444961124,329.2543640136719,resid_post_all/layer_2_width_16k_l0_small
2,676,378,0.08626198083067092,22005.85174560547,58.21653900953828,181.7244873046875,resid_post_all/layer_2_width_16k_l0_small
2,2513,371,0.08466453674121406,28727.238552093506,77.43190984391781,221.9716033935547,resid_post_all/layer_2_width_16k_l0_small
2,12956,338,0.0771337288909174,13898.052268981934,41.11849783722466,57.44231414794922,resid_post_all/layer_2_width_16k_l0_small
2,354,336,0.07667731629392971,34676.64853858948,103.20431112675439,237.10133361816406,resid_post_all/layer_2_width_16k_l0_small
2,18,313,0.07142857142857142,92309.58891296387,294.9188144184149,404.22528076171875,resid_post_all/layer_2_width_16k_l0_small
2,267,309,0.07051574623459607,131884.94778442383,426.8121287521807,518.528076171875,resid_post_all/layer_2_width_16k_l0_small
2,746,300,0.06846188954815152,18087.924285888672,60.29308095296224,175.6127166748047,resid_post_all/layer_2_width_16k_l0_small
2,8403,291,0.06640803286170699,16394.822067260742,56.339594732854785,78.67817687988281,resid_post_all/layer_2_width_16k_l0_small
2,13281,288,0.06572341396622547,24242.86572265625,84.17661709255643,156.15524291992188,resid_post_all/layer_2_width_16k_l0_small
2,72,269,0.06138749429484254,130500.876953125,485.1333715729554,556.20166015625,resid_post_all/layer_2_width_16k_l0_small
2,1555,269,0.06138749429484254,16658.7763671875,61.928536680994426,158.01422119140625,resid_post_all/layer_2_width_16k_l0_small
2,1101,204,0.04655408489274304,10801.117004394531,52.94665198232613,149.47479248046875,resid_post_all/layer_2_width_16k_l0_small
2,8890,198,0.04518484710178001,10010.8708152771,50.559953612510604,74.95274353027344,resid_post_all/layer_2_width_16k_l0_small
2,1330,188,0.042902784116841626,18317.9737739563,97.43603071253351,184.12274169921875,resid_post_all/layer_2_width_16k_l0_small
2,2599,185,0.04221816522136011,11100.521013259888,60.002816287891285,126.79011535644531,resid_post_all/layer_2_width_16k_l0_small
2,29,176,0.040164308534915566,27118.699188232422,154.08351811495695,358.8424072265625,resid_post_all/layer_2_width_16k_l0_small
2,1219,175,0.039936102236421724,16485.67185974121,94.20383919852121,311.32135009765625,resid_post_all/layer_2_width_16k_l0_small
2,3262,171,0.039023277042446375,11019.718933105469,64.44280077839456,127.59317016601562,resid_post_all/layer_2_width_16k_l0_small
2,328,168,0.038338658146964855,73307.18084716797,436.3522669474284,480.9356689453125,resid_post_all/layer_2_width_16k_l0_small
2,15214,168,0.038338658146964855,16031.425148010254,95.42514969053722,111.08077239990234,resid_post_all/layer_2_width_16k_l0_small
2,230,164,0.037425832952989506,29551.124656677246,180.18978449193443,212.3314208984375,resid_post_all/layer_2_width_16k_l0_small
2,6253,162,0.03696942035600183,5095.730628967285,31.45512733930423,53.58628463745117,resid_post_all/layer_2_width_16k_l0_small
2,45,154,0.03514376996805112,35278.31123352051,229.07994307480848,283.251220703125,resid_post_all/layer_2_width_16k_l0_small
